,accession,oxytolerance,domain,phylum,class,order,family
2417,RS_GCF_000427425.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Thermoanaerobacteria,o__Caldanaerobiales,f__Caldanaerobiaceae
2418,RS_GCF_002091635.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
2419,RS_GCF_900143065.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2420,RS_GCF_012395255.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
2421,RS_GCF_000378145.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2422,RS_GCF_901447495.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
2423,RS_GCF_002076895.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae
2424,RS_GCF_009192745.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
2425,RS_GCF_000350145.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Ilumatobacteraceae
2426,RS_GCF_001750725.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
2427,RS_GCF_900143205.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
2428,RS_GCF_900102685.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae
2429,RS_GCF_000337375.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae
2430,RS_GCF_001418255.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2431,RS_GCF_000376225.1,aerobe,d__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Tumebacillales,f__Effusibacillaceae
2432,RS_GCF_900176075.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
2433,RS_GCF_000374025.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
2434,RS_GCF_006569205.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
2435,GB_GCA_014645015.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
2436,RS_GCF_003634095.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
2437,RS_GCF_000315055.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae
2438,RS_GCF_003205575.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae
2439,RS_GCF_000701665.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae
2440,RS_GCF_000337475.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae
2441,RS_GCF_900112935.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae
2442,RS_GCF_000189775.2,anaerobe,d__Bacteria,p__Firmicutes_A,c__Thermoanaerobacteria,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae
2443,RS_GCF_000204415.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae
2444,RS_GCF_900100255.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
2445,RS_GCF_000974765.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
2446,GB_GCA_014647535.1,aerobe,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Thermaceae
2447,RS_GCF_000422445.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2448,RS_GCF_003008595.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2449,RS_GCF_006384875.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_G
2450,RS_GCF_000182645.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A,f__Rhizobiaceae_A
2451,RS_GCF_007830035.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
2452,RS_GCF_003349965.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
2453,RS_GCF_900116205.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae
2454,RS_GCF_002924625.1,anaerobe,d__Bacteria,p__Thermotogota,c__Thermotogae,o__Petrotogales,f__Petrotogaceae
2455,RS_GCF_900107215.1,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Acetomicrobiaceae
2456,RS_GCF_001414055.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
2457,GB_GCA_014647615.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Amphibacillaceae
2458,RS_GCF_000019805.1,anaerobe,d__Archaea,p__Thermoproteota,c__Thermoproteia,o__Thermoproteales,f__Thermoproteaceae
2459,RS_GCF_003323745.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae
2460,RS_GCF_004519295.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae
2461,RS_GCF_000421185.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
2462,RS_GCF_009392895.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae
2463,RS_GCF_002895945.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
2464,RS_GCF_900106765.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Tepidimicrobiaceae
2465,RS_GCF_900101095.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
2466,RS_GCF_013240295.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
2467,RS_GCF_000759755.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
2468,RS_GCF_004803795.1,anaerobe,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
2469,RS_GCF_000160455.2,anaerobe,d__Bacteria,p__Synergistota,c__Synergistia,o__Synergistales,f__Acetomicrobiaceae
2470,RS_GCF_001955655.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
2471,RS_GCF_000293805.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2472,GB_GCA_014651675.1,aerobe,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae
2473,RS_GCF_014199685.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
2474,RS_GCF_000016425.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae
2475,RS_GCF_001747105.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
2476,RS_GCF_012396015.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
2477,RS_GCF_000981765.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Kangiellaceae
2478,RS_GCF_012910705.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae
2479,RS_GCF_005869875.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2480,RS_GCF_900454685.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae
2481,RS_GCF_002936985.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
2482,RS_GCF_000487995.1,anaerobe,d__Bacteria,p__Deferribacterota,c__Deferribacteres,o__Deferribacterales,f__Mucispirillaceae
2483,RS_GCF_900109525.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
2484,RS_GCF_003148625.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
2485,RS_GCF_005845365.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
2486,GB_GCA_002243685.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_G
2487,RS_GCF_000379925.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae
2488,GB_GCA_014640555.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2489,RS_GCF_900167025.1,anaerobe,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae
2490,RS_GCF_900167265.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
2491,RS_GCF_014195585.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
2492,RS_GCF_001439635.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
2493,RS_GCF_004337705.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae
2494,RS_GCF_003387475.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
2495,RS_GCF_010692725.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae
2496,RS_GCF_000708755.2,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
2497,GB_GCA_014636495.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
2498,RS_GCF_900110065.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
2499,RS_GCF_003258595.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Amorphaceae
2500,RS_GCF_000214175.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
2501,RS_GCF_000419445.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
2502,RS_GCF_001940565.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Tissierellaceae
2503,RS_GCF_000310205.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae
2504,RS_GCF_003965815.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2505,RS_GCF_000482505.1,anaerobe,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae
2506,GB_GCA_014641075.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2507,RS_GCF_001553115.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae
2508,RS_GCF_002930645.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae
2509,RS_GCF_003626695.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2510,RS_GCF_014199205.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
2511,GB_GCA_009821115.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Nitrincolaceae
2512,RS_GCF_000828125.2,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae
2513,RS_GCF_003217295.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
2514,RS_GCF_000381265.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2515,RS_GCF_001908105.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
2516,RS_GCF_001550065.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Kordiimonadaceae
2517,RS_GCF_013204845.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
2518,RS_GCF_900113035.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2519,RS_GCF_009828025.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
2520,RS_GCF_002216775.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Amphibacillaceae
2521,RS_GCF_006265245.1,anaerobe,d__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae
2522,RS_GCF_000739065.1,anaerobe,d__Archaea,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanocaldococcaceae
2523,RS_GCF_903970205.1,aerobe,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae
2524,RS_GCF_006363815.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae
2525,RS_GCF_001306415.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
2526,GB_GCA_001316025.1,anaerobe,d__Archaea,p__Thermoproteota,c__Thermoproteia,o__Thermoproteales,f__Thermocladiaceae
2527,RS_GCF_001561955.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae
2528,RS_GCF_007830175.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Sedimentibacteraceae
2529,RS_GCF_001601575.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Thermosediminibacteria,o__Thermosediminibacterales,f__Thermosediminibacteraceae
2530,RS_GCF_004785645.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae
2531,RS_GCF_003003125.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae
2532,RS_GCF_005144885.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phreatobacteraceae
2533,RS_GCF_001592965.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
2534,RS_GCF_001311565.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfohalobiaceae
2535,RS_GCF_000214825.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiomicrospirales,f__Thiomicrospiraceae
2536,RS_GCF_004216915.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__RP-AC37,f__Motilibacteraceae
2537,RS_GCF_000013285.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
2538,RS_GCF_900129285.1,anaerobe,d__Bacteria,p__Firmicutes_B,c__Desulfotomaculia,o__Desulfotomaculales,f__Desulfovirgulaceae
2539,RS_GCF_003096075.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
2540,RS_GCF_005960665.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae
2541,RS_GCF_003666245.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
2542,RS_GCF_000154065.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
2543,RS_GCF_900215575.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natronoarchaeaceae
2544,RS_GCF_000262405.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
2545,RS_GCF_002020355.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
2546,RS_GCF_000185385.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
2547,RS_GCF_900099815.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
2548,RS_GCF_000818015.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
2549,RS_GCF_000151105.2,anaerobe,d__Archaea,p__Methanobacteriota,c__Thermococci,o__Thermococcales,f__Thermococcaceae
2550,RS_GCF_001730685.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Caloranaerobacteraceae
2551,RS_GCF_001571775.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae
2552,RS_GCF_001879695.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
2553,RS_GCF_001996005.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
2554,RS_GCF_013409595.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
2555,RS_GCF_014144865.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
2556,RS_GCF_000021725.1,anaerobe,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Nautiliales,f__Nautiliaceae
2557,RS_GCF_002270465.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
2558,RS_GCF_900215215.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae
2559,RS_GCF_013004605.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Quadrisphaeraceae
2560,RS_GCF_000466965.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
2561,RS_GCF_009720755.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
2562,RS_GCF_003260975.1,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
2563,RS_GCF_900114835.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae
2564,RS_GCF_010500895.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae
2565,RS_GCF_900105065.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae
2566,RS_GCF_000688295.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
2567,RS_GCF_002008225.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
2568,RS_GCF_900156865.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_L
2569,RS_GCF_002119425.1,anaerobe,d__Bacteria,p__Campylobacterota,c__Desulfurellia,o__Desulfurellales,f__Desulfurellaceae
2570,RS_GCF_900105965.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
2571,RS_GCF_007829815.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae
2572,RS_GCF_000327485.1,anaerobe,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae
2573,RS_GCF_900107815.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae
2574,RS_GCF_002902665.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae
2575,RS_GCF_002355475.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
2576,RS_GCF_004799685.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae
2577,RS_GCF_000515355.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae
2578,RS_GCF_000445475.1,anaerobe,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae
2579,RS_GCF_900111805.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
2580,RS_GCF_007655485.1,aerobe,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae
2581,GB_GCA_900114885.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
2582,RS_GCF_001190745.1,anaerobe,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
2583,GB_GCA_014643455.1,aerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
2584,RS_GCF_000243115.2,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
2585,GB_GCA_014653695.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
2586,RS_GCF_000196455.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae
2587,RS_GCF_000934755.1,anaerobe,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfonatronovibrionaceae
2588,RS_GCF_000744375.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae
2589,RS_GCF_002911695.1,aerobe,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae
2590,RS_GCF_000382285.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae
2591,RS_GCF_007679095.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Bacillaceae_C
2592,RS_GCF_000166735.1,anaerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae
2593,GB_GCA_009738435.1,anaerobe,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
2594,RS_GCF_001441165.1,anaerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae
2595,RS_GCF_001661595.2,aerobe,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae
2596,RS_GCF_000317835.1,aerobe,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae
2597,RS_GCF_000382705.1,anaerobe,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
2598,RS_GCF_001592265.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
2599,GB_GCA_014652375.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae
2600,RS_GCF_900115705.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
2601,RS_GCF_003049725.1,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Aeromonadaceae
2602,RS_GCF_000314855.2,aerobe,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
2603,RS_GCF_000745485.1,anaerobe,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae
2604,RS_GCF_014323705.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae
2605,RS_GCF_001748285.1,aerobe,d__Bacteria,p__Chloroflexota,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae
2606,RS_GCF_000473245.1,aerobe,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__DSM-18226
2607,RS_GCF_002216005.1,anaerobe,d__Bacteria,p__Firmicutes_D,c__Natranaerobiia,o__Natranaerobiales,f__Natranaerobiaceae
2608,RS_GCF_003265355.1,aerobe,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae
